等级,机制,副本名称,游戏图片,货币奖励,特殊物品
90,,最终幻想末世终迹,,20,游星鸟 管弦乐琴乐谱：先逝的群星
90,,乐园都市笑笑镇,,20,月面仙人刺王子 管弦乐琴乐谱：开开心心胡萝卜
90,,电脑梦境斯提格玛四,,20,集成奥密克戎
90,,近东秘宝阿尔扎达尔海底遗迹群,,30,门小奴 九宫幻卡：铁壁 管弦乐琴乐谱：打开的地图 阿尔扎达尔园艺灯
90,,异界孤城特罗亚宫廷,,40,斯卡米留尼之形 九宫幻卡：贝雅特丽齐 管弦乐琴乐谱：特罗亚国 ～晓月～ 管弦乐琴乐谱：战斗2（最终幻想IV） ～晓月～ 首席神官的椅子 土之大妖异的宝珠
90,√,雪山奥窟冥魂石洞,,50,凯纳槽之形 九宫幻卡：凯纳槽 管弦乐琴乐谱：洞中青辉 冥魂石洞标旗 水之大妖异的宝珠
90,√,间歇灵泉哈姆岛,,70,海鹦 九宫幻卡：八足巨妖 管弦乐琴乐谱：星球的叹息
90,√,异界深渊月面地下溪谷,,100,迷你高贝扎 九宫幻卡：杜兰特 管弦乐琴乐谱：巴隆王国 ～晓月～
91,√,丛林竞流生息河岸,,,小小海牛 九宫幻卡：瞌睡怪 管弦乐琴乐谱：海牛逆流而上 生息花丛
93,√,通天绝壁沃刻佐莫山,,,洛洛洛特雪精 九宫幻卡：辽刻特特雪精 管弦乐琴乐谱：高耸入云 佐莫石灯笼
95,√,神圣禁地深空天坑,,,说话的石头 九宫幻卡：锤颅巨兵 管弦乐琴乐谱：树海深处之梦 天坑室内灯
97,√,前哨基地先锋营,,,飞梭M9 管弦乐琴乐谱：火花与闪光 雷转质炮塔
99,√,魂魄工厂创生设施,,,验证体安布罗斯 九宫幻卡：安布罗斯 管弦乐琴乐谱：解剖生命 创生设施屏幕桌 创生设施办公椅
90,,终结之战,,10,九宫幻卡：梅蒂恩
90,√,巴尔巴莉希娅歼灭战,,12,九宫幻卡：巴尔巴莉希娅
90,√,卢比坎特歼灭战,,12,九宫幻卡：卢比坎特
90,√,高贝扎歼灭战,,12,九宫幻卡：高贝扎
90,√,泽罗姆斯歼灭战,,12,九宫幻卡：泽罗姆斯
90,√,阿修罗歼灭战,,10,九宫幻卡：阿修罗
90,,佐迪亚克暝暗歼灭战,,15,永暗猞猁魔笛 九宫幻卡：佐迪亚克 陈旧的乐谱：呼唤终结之神 永暗水晶
90,√,海德林晖光歼灭战,,15,圣光猞猁魔笛 九宫幻卡：海德林 陈旧的乐谱：你的答案 圣光水晶
90,√,终极之战,,20,蓝羽猞猁魔笛 九宫幻卡：梅蒂恩 陈旧的乐谱：终结之战 蓝色的羽毛
90,√,巴尔巴莉希娅歼殛战,,25,煞风猞猁魔笛 九宫幻卡：巴尔巴莉希娅 陈旧的乐谱：高贝扎四天王之战 风之大妖异的宝珠
90,,卢比坎特歼殛战,,25,炀火猞猁魔笛 九宫幻卡：卢比坎特 陈旧的乐谱：魂火铸就 火之大妖异的宝珠
90,√,高贝扎歼殛战,,25,高贝扎装甲 九宫幻卡：高贝扎 陈旧的乐谱：虚无界的救赎者 大妖异的黑铠碎片
90,√,泽罗姆斯歼殛战,,25,深渊猞猁魔笛 九宫幻卡：泽罗姆斯 陈旧的乐谱：最后之战（最终幻想IV） 大妖异的水晶
93,√,艳翼蛇鸟歼灭战,,,九宫幻卡：艳翼蛇鸟
99,√,佐拉加歼灭战,,,九宫幻卡：佐拉加
90,,灿烂神域阿格莱亚,,100 100 12,迷你阿泽玛 九宫幻卡：纳尔 管弦乐琴乐谱：巡礼者之路 管弦乐琴乐谱：威光 管弦乐琴乐谱：生命的天平
90,√,喜悦神域欧芙洛绪涅,,100 100 12,迷你哈罗妮 九宫幻卡：梅茵菲娜 管弦乐琴乐谱：众神的宠爱 管弦乐琴乐谱：跃动的大地 管弦乐琴乐谱：满月之夜
90,√,荣华神域塔利亚,,100 120 15,迷你奥修昂 九宫幻卡：欧罗基亚 管弦乐琴乐谱：心愿如风随行 管弦乐琴乐谱：热情的奔流 管弦乐琴乐谱：艾欧泽亚神话
90,,万魔殿 边境之狱1,,10,九宫幻卡：埃里克特翁尼亚斯
90,,万魔殿 边境之狱2,,10,
90,,万魔殿 边境之狱3,,10,管弦乐琴乐谱：惩戒的镣铐
90,,万魔殿 边境之狱4,,10,诺斯费拉图 管弦乐琴乐谱：此处有狮
90,√,万魔殿 炼净之狱1,,10,管弦乐琴乐谱：无声尖叫
90,√,万魔殿 炼净之狱2,,10,管弦乐琴乐谱：尖叫
90,√,万魔殿 炼净之狱3,,10,管弦乐琴乐谱：尖叫
90,√,万魔殿 炼净之狱4,,10,迷你埃里克特翁尼亚斯 九宫幻卡：赫淮斯托斯 管弦乐琴乐谱：其火尚存
