等级,机制,副本名称,游戏图片,货币奖励,特殊物品
50,√,迦楼罗歼殛战,,20,梦魇笛 风妖笛 九宫幻卡：迦楼罗 陈旧的乐谱：堕天使 迦楼罗魔羽
50,√,泰坦歼殛战,,20,梦魇笛 土妖笛 九宫幻卡：泰坦 陈旧的乐谱：重压灭顶 泰坦魔岩
50,√,伊弗利特歼殛战,,20,梦魇笛 火妖笛 九宫幻卡：伊弗利特 陈旧的乐谱：原始的审判 伊弗利特魔角
50,√,莫古力贤王歼殛战,,20,九宫幻卡：贤王莫古尔·莫古十二世 陈旧的乐谱：贤王莫古尔·莫古十二世 莫古尔·莫古的魔须
50,,利维亚桑歼殛战,,20,水妖笛 九宫幻卡：利维亚桑 陈旧的乐谱：水手遇难 陈旧的乐谱：混沌的漩涡 利维亚桑之棘 利维亚桑魔棘 水神魔镜
50,,拉姆歼殛战,,20,雷妖笛 九宫幻卡：拉姆 陈旧的乐谱：电闪雷鸣 拉姆之珠 拉姆魔珠
50,,希瓦歼殛战,,22,冰妖笛 九宫幻卡：希瓦 陈旧的乐谱：雪上的足迹 陈旧的乐谱：忘却的彼岸 希瓦之泪 希瓦魔泪 钻石尘晶
53,√,罗波那歼灭战,,,九宫幻卡：罗波那 罗波那之翅
57,,俾斯麦歼灭战,,,九宫幻卡：俾斯麦 俾斯麦之角
50,,水晶塔 古代人迷宫,,100,九宫幻卡：提坦 陈旧的乐谱：傲慢 陈旧的乐谱：一落千丈 次元刀的碎片 亚拉戈魔触媒
50,,水晶塔 希尔科斯塔,,100,洋葱小骑士 九宫幻卡：赞德 管弦乐琴乐谱：破碎 陈旧的乐谱：绚烂 陈旧的乐谱：多加与乌内之心 宝座水晶块 亚拉戈魔触媒
50,,水晶塔 暗之世界,,100,暗淡之云 九宫幻卡：洋葱剑士 九宫幻卡：暗黑之云 陈旧的乐谱：暗淡 陈旧的乐谱：最后的死斗 希尔科斯水晶碎片
50,√,巴哈姆特大迷宫 邂逅之章1,,10,自卫系统外壳 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：头部防具 亚拉戈以太石：手部防具 亚拉戈以太石：脚部防具
50,√,巴哈姆特大迷宫 邂逅之章2,,10,自卫系统内构 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：头部防具 亚拉戈以太石：腿部防具
50,√,巴哈姆特大迷宫 邂逅之章3,,,
50,√,巴哈姆特大迷宫 邂逅之章4,,10,亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：手部防具 亚拉戈以太石：脚部防具
50,√,巴哈姆特大迷宫 邂逅之章5,,10,陈旧的乐谱：雷鸣 自卫系统光源 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：武器 亚拉戈以太石：身体防具
50,√,巴哈姆特大迷宫 入侵之章1,,20,亚拉戈高位以太石：头部防具 亚拉戈高位以太石：脚部防具
50,√,巴哈姆特大迷宫 入侵之章2,,20,亚拉戈高位以太石：手部防具 亚拉戈高位以太石：腿部防具
50,√,巴哈姆特大迷宫 入侵之章3,,20,亚拉戈高位以太石：头部防具 亚拉戈高位以太石：手部防具 亚拉戈高位以太石：脚部防具
