等级,机制,副本名称,游戏图片,货币奖励,特殊物品
70,,朱雀镇魂战,,15,九宫幻卡：朱雀
70,,青龙镇魂战,,15,九宫幻卡：青龙
70,√,须佐之男歼殛战,,15,狂欢神威魔笛 九宫幻卡：须佐之男 陈旧的乐谱：启示 须佐之男魔刃
70,,吉祥天女歼殛战,,15,极乐神威魔笛 九宫幻卡：吉祥天女 管弦乐琴乐谱：阴谋美计 吉祥天女羽衣
70,√,神龙梦幻歼灭战,,20,梦幻神威魔笛 九宫幻卡：神龙 陈旧的乐谱：神龙见尾 神龙之鳞
70,,月读幽夜歼灭战,,20,幽夜神威魔笛 九宫幻卡：月读 陈旧的乐谱：月下芳华 月读绸缎 水族箱内饰：月光 魔法景观：满月
70,√,火龙上位狩猎战,,15,火龙笛 噗吱猪 管弦乐琴乐谱：英雄之证 火龙的鳞 火龙的上鳞
70,√,白虎诗魂战,,20,白帝神威魔笛 九宫幻卡：白虎 陈旧的乐谱：白帝竹林 白虎鬃毛
70,√,朱雀诗魂战,,25,朱焰神威魔笛 九宫幻卡：朱雀 陈旧的乐谱：千年旭光 朱雀的尾部羽毛
70,,青龙诗魂战,,25,青君神威魔笛 九宫幻卡：青龙 陈旧的乐谱：云蒸龙变 青龙之鳞
73,,缇坦妮雅歼灭战,,,九宫幻卡：妖灵王缇坦妮雅
79,,无瑕灵君歼灭战,,,九宫幻卡：无瑕灵君
70,,失落之都拉巴纳斯塔,,100 80 10,九宫幻卡：人马王洛弗卡勒 九宫幻卡：冷血剑阿加斯 管弦乐琴乐谱：三等分 管弦乐琴乐谱：桥上之战 管弦乐琴乐谱：阿尔蒂玛优雅形态
70,,封闭圣塔黎铎拉纳大灯塔,,100 80 10,劳动八号 九宫幻卡：鬼龙雅兹玛特 管弦乐琴乐谱：基鲁菲冈之谜 管弦乐琴乐谱：卒中 管弦乐琴乐谱：剑闪
70,,乐欲之所瓯博讷修道院,,100 100 12,迷你拉姆萨 九宫幻卡：圣天使阿尔蒂玛 管弦乐琴乐谱：繁星之下 管弦乐琴乐谱：紧急1 管弦乐琴乐谱：退热剂 管弦乐琴乐谱：异形之人 管弦乐琴乐谱：阿尔蒂玛完美形态
70,,欧米茄时空狭缝 德尔塔幻境1,,10,管弦乐琴乐谱：战斗2δ
70,,欧米茄时空狭缝 德尔塔幻境2,,10,管弦乐琴乐谱：战斗2δ
70,,欧米茄时空狭缝 德尔塔幻境3,,10,管弦乐琴乐谱：战斗2δ
70,,欧米茄时空狭缝 德尔塔幻境4,,10,迷你艾克斯迪司 管弦乐琴乐谱：决战δ
70,,欧米茄时空狭缝 西格玛幻境1,,10,管弦乐琴乐谱：决战σ
