等级,机制,副本名称,游戏图片,货币奖励,特殊物品
90,,佐迪亚克暝暗歼灭战,,15,永暗猞猁魔笛 九宫幻卡：佐迪亚克 陈旧的乐谱：呼唤终结之神 永暗水晶
90,√,海德林晖光歼灭战,,15,圣光猞猁魔笛 九宫幻卡：海德林 陈旧的乐谱：你的答案 圣光水晶
90,√,终极之战,,20,蓝羽猞猁魔笛 九宫幻卡：梅蒂恩 陈旧的乐谱：终结之战 蓝色的羽毛
90,√,巴尔巴莉希娅歼殛战,,25,煞风猞猁魔笛 九宫幻卡：巴尔巴莉希娅 陈旧的乐谱：高贝扎四天王之战 风之大妖异的宝珠
90,,卢比坎特歼殛战,,25,炀火猞猁魔笛 九宫幻卡：卢比坎特 陈旧的乐谱：魂火铸就 火之大妖异的宝珠
90,√,高贝扎歼殛战,,25,高贝扎装甲 九宫幻卡：高贝扎 陈旧的乐谱：虚无界的救赎者 大妖异的黑铠碎片
90,√,泽罗姆斯歼殛战,,25,深渊猞猁魔笛 九宫幻卡：泽罗姆斯 陈旧的乐谱：最后之战（最终幻想IV） 大妖异的水晶
93,√,艳翼蛇鸟歼灭战,,,九宫幻卡：艳翼蛇鸟
99,√,佐拉加歼灭战,,,九宫幻卡：佐拉加
90,,灿烂神域阿格莱亚,,100 100 12,迷你阿泽玛 九宫幻卡：纳尔 管弦乐琴乐谱：巡礼者之路 管弦乐琴乐谱：威光 管弦乐琴乐谱：生命的天平
90,√,喜悦神域欧芙洛绪涅,,100 100 12,迷你哈罗妮 九宫幻卡：梅茵菲娜 管弦乐琴乐谱：众神的宠爱 管弦乐琴乐谱：跃动的大地 管弦乐琴乐谱：满月之夜
90,√,荣华神域塔利亚,,100 120 15,迷你奥修昂 九宫幻卡：欧罗基亚 管弦乐琴乐谱：心愿如风随行 管弦乐琴乐谱：热情的奔流 管弦乐琴乐谱：艾欧泽亚神话
90,,万魔殿 边境之狱1,,10,九宫幻卡：埃里克特翁尼亚斯
90,,万魔殿 边境之狱2,,10,
90,,万魔殿 边境之狱3,,10,管弦乐琴乐谱：惩戒的镣铐
90,,万魔殿 边境之狱4,,10,诺斯费拉图 管弦乐琴乐谱：此处有狮
90,√,万魔殿 炼净之狱1,,10,管弦乐琴乐谱：无声尖叫
90,√,万魔殿 炼净之狱2,,10,管弦乐琴乐谱：尖叫
90,√,万魔殿 炼净之狱3,,10,管弦乐琴乐谱：尖叫
90,√,万魔殿 炼净之狱4,,10,迷你埃里克特翁尼亚斯 九宫幻卡：赫淮斯托斯 管弦乐琴乐谱：其火尚存
