等级,机制,副本名称,游戏图片,货币奖励,特殊物品
60,,萨菲洛特歼灭战,,10,九宫幻卡：萨菲洛特 萨菲洛特树液块
60,,索菲娅歼灭战,,15,九宫幻卡：索菲娅
60,,祖尔宛歼灭战,,15,九宫幻卡：祖尔宛
60,,俾斯麦歼殛战,,15,白云猎鹰笛 九宫幻卡：俾斯麦 陈旧的乐谱：无尽苍空 陈旧的乐谱：灾厄狂起 俾斯麦之角 俾斯麦魔角
60,,罗波那歼殛战,,15,怒武猎鹰笛 九宫幻卡：罗波那 陈旧的乐谱：武神降临 陈旧的乐谱：不屈之刃 罗波那之翅 罗波那魔翅
60,√,圆桌骑士幻想歼灭战,,20,圆桌猎鹰笛 九宫幻卡：托尔丹七世 陈旧的乐谱：英杰
60,√,尼德霍格传奇征龙战,,20,暗黑猎鹰笛 九宫幻卡：尼德霍格 陈旧的乐谱：绝命怒嚎 邪龙之鳞
60,√,萨菲洛特歼殛战,,20,战争猎鹰笛 九宫幻卡：萨菲洛特 陈旧的乐谱：魔神 萨菲洛特树液块 萨菲洛特魔液块
60,√,索菲娅歼殛战,,25,睿智猎鹰笛 九宫幻卡：索菲娅 陈旧的乐谱：平衡 女神宝珠碎片
60,√,祖尔宛歼殛战,,25,厉鬼猎鹰笛 九宫幻卡：祖尔宛 陈旧的乐谱：无限 鬼神甲壳碎片
63,,须佐之男歼灭战,,,九宫幻卡：须佐之男
67,,吉祥天女歼灭战,,,九宫幻卡：吉祥天女
60,,魔航船虚无方舟,,100 60 8,小小艾奇德娜 九宫幻卡：艾奇德娜 棺材板
60,,禁忌城邦玛哈,,100 60 8,卡洛菲斯提莉玩偶 九宫幻卡：卡洛菲斯提莉 棺材板
60,,影之国,,100 80 10,迷你斯卡哈 九宫幻卡：虚空迪亚波罗斯 虚无矿
60,,亚历山大机神城 启动之章1,,10,高精度戈耳狄螺栓
60,,亚历山大机神城 启动之章2,,10,高精度戈耳狄透镜
60,√,亚历山大机神城 启动之章3,,10,高精度戈耳狄弹簧
60,,亚历山大机神城 启动之章4,,10,高精度戈耳狄长杆 戈耳狄齿轮 7号哥布林钢板
60,,亚历山大机神城 律动之章1,,10,
