等级,机制,副本名称,游戏图片,货币奖励,特殊物品
80,,末日暗影亚马乌罗提,,20,鲸头鹳 管弦乐琴乐谱：末日时刻
80,,异界遗构希尔科斯孪晶塔,,20,管弦乐琴乐谱：一瞬千里
80,,创造机构阿尼德罗学院,,20,小小冰海天使 管弦乐琴乐谱：无影之影
80,,魔法宫殿宇宙宫,,30,小凉南希 九宫幻卡：漆黑导师 管弦乐琴乐谱：华美宫殿 宇宙宫隔断 宇宙宫挂饰
80,,黑风海底阿尼德罗追忆馆,,40,小小古代人 九宫幻卡：不明物体 管弦乐琴乐谱：潜伏于沙
80,,暗影决战诺弗兰特,,50,幻影亡灵法师 管弦乐琴乐谱：异路同归
80,,魔术工房玛托雅工作室,,70,水小滴 九宫幻卡：仙子猪之母 管弦乐琴乐谱：刚出炉的仙子猪
80,,黄金平原帕戈尔赞草原,,100,魔导猎手追踪型 九宫幻卡：真月巴哈姆特 管弦乐琴乐谱：烈火七部族
81,,异形楼阁佐特塔,,,梅加斯三姐妹之形 九宫幻卡：梅加斯三姐妹 管弦乐琴乐谱：佐特塔
83,,魔导神门巴别塔,,,阿尼玛之形 九宫幻卡：阿尼玛 管弦乐琴乐谱：加雷马快列
85,,末日树海万相森国,,,河马幼崽 管弦乐琴乐谱：天空燃烧之日
87,,创造环境极北造物院,,,神杖小蛇 九宫幻卡：赫尔墨斯 管弦乐琴乐谱：创造之奇迹 极北造物院座椅
89,,星海深幽寻因星晶镜,,,小巨魔 九宫幻卡：邪执外道的亚蒙 管弦乐琴乐谱：星海 寻因工作台 寻因台灯
80,,哈迪斯歼灭战,,10,九宫幻卡：哈迪斯
80,,红宝石神兵破坏作战,,12,九宫幻卡：红宝石神兵
80,,光之战士歼灭战,,12,九宫幻卡：光之战士（暗影）
80,,绿宝石神兵破坏作战,,12,九宫幻卡：绿宝石神兵
80,,钻石神兵捕获作战,,12,九宫幻卡：钻石神兵
80,√,缇坦妮雅歼殛战,,15,仙子玲龙魔笛 九宫幻卡：妖灵王缇坦妮雅 陈旧的乐谱：天使醒来 缇坦妮雅的羽毛
80,,无瑕灵君歼殛战,,15,无瑕玲龙魔笛 九宫幻卡：无瑕灵君 陈旧的乐谱：精神错乱 无瑕灵君的翼片
80,√,哈迪斯孤念歼灭战,,20,暗影玲龙魔笛 九宫幻卡：哈迪斯 陈旧的乐谱：不灭孤念 哈迪斯结晶片
80,,红宝石神兵狂想作战,,25,红宝石玲龙魔笛 九宫幻卡：红宝石神兵 陈旧的乐谱：究极神兵（蛮荒神影） 红宝石神兵装甲片
80,√,博兹雅堡垒追忆战,,20,九宫幻卡：瓦厉斯·耶·加尔乌斯
80,√,光之战士幻耀歼灭战,,25,光之玲龙魔笛 九宫幻卡：光之战士（暗影） 陈旧的乐谱：末路尽头 光之金属板
80,√,绿宝石神兵狂想作战,,25,绿宝石玲龙魔笛 九宫幻卡：绿宝石神兵 陈旧的乐谱：漆黑王狼重现世间 绿宝石神兵装甲片
