等级,机制,副本名称,游戏图片,货币奖励,特殊物品
90,√,万魔殿 荒天之狱1,,20,管弦乐琴乐谱：疲惫不堪
90,√,万魔殿 荒天之狱2,,20,管弦乐琴乐谱：疲惫不堪
90,√,万魔殿 荒天之狱3,,20,管弦乐琴乐谱：转瞬即逝
90,√,万魔殿 荒天之狱4,,20,迷你雅典娜 九宫幻卡：雅典娜 管弦乐琴乐谱：不倦之人雅典娜
90,√,零式万魔殿 边境之狱1,,15,九宫幻卡：埃里克特翁尼亚斯
90,√,零式万魔殿 边境之狱2,,15,
90,√,零式万魔殿 边境之狱3,,15,
90,√,零式万魔殿 边境之狱4,,15,亚灵菲尼克司角笛 诺斯费拉图
90,√,零式万魔殿 炼净之狱1,,15,
90,√,零式万魔殿 炼净之狱2,,15,
90,√,零式万魔殿 炼净之狱3,,15,
90,√,零式万魔殿 炼净之狱4,,15,炎灵兽水晶 迷你埃里克特翁尼亚斯 九宫幻卡：赫淮斯托斯 管弦乐琴乐谱：相白质黑
90,√,零式万魔殿 荒天之狱1,,30,
90,√,零式万魔殿 荒天之狱2,,30,
90,√,零式万魔殿 荒天之狱3,,30,
90,√,零式万魔殿 荒天之狱4,,30,巨型钝口螈角笛 迷你雅典娜 九宫幻卡：雅典娜 管弦乐琴乐谱：阿尔蒂玛完美形态 ～晓月～
90,√,幻想龙诗绝境战,,100,龙诗图腾
90,√,欧米茄绝境验证战,,100,欧米茄图腾
