等级,机制,副本名称,游戏图片,货币奖励,特殊物品
60,√,血战苍穹魔科学研究所,,150,陈旧的乐谱：异想天开
60,,空中神域不获岛,,20,丑小鸭 九宫幻卡：招雷巨蛇 管弦乐琴乐谱：犹如夏雨
60,,博物战舰无限回廊,,20,猫头小鹰 九宫幻卡：博物总管 管弦乐琴乐谱：坚不可摧
60,,草木庭园圣茉夏娜植物园,,30,叶小妖妖 九宫幻卡：剧毒美人 管弦乐琴乐谱：有毒植物
60,,地脉灵灯天狼星灯塔,,30,九宫幻卡：爆弹之母 管弦乐琴乐谱：触礁
60,,星海空间颠倒塔,,40,卡尔克 布莉娜 九宫幻卡：卡尔克布莉娜 管弦乐琴乐谱：跳舞娃娃卡尔克布莉娜 ～苍穹～ 陈旧的乐谱：上下易位
60,,神圣遗迹无限城市街古迹,,40,蓝闪蝶 九宫幻卡：基路伯 管弦乐琴乐谱：古都
60,√,天龙宫殿忆罪宫,,50,九宫幻卡：赫拉斯瓦尔格 管弦乐琴乐谱：谢罪之诗
60,,黑涡传说破舰岛,,50,触手 九宫幻卡：大海盗雾须王 管弦乐琴乐谱：神圣的教导
60,,险峻峡谷塞尔法特尔溪谷,,70,疣猪小子 九宫幻卡：晴天霹雳托佐尔·法托特尔
60,,秘本宝库迦巴勒幻想图书馆,,70,九宫幻卡：博学林鸮 管弦乐琴乐谱：恐书症 真妖异全集手抄本
60,,坚牢铁壁巴埃萨长城,,100,斗牛小犬 九宫幻卡：铁面公卿
60,,天山深境索姆阿尔灵峰,,100,九宫幻卡：熔岩蝎
61,,漂流海域妖歌海,,,吉多 管弦乐琴乐谱：通向黎明
63,,海底宫殿紫水宫,,,刺球球 管弦乐琴乐谱：打开的玉手箱
65,,试炼行路巴儿达木霸道,,,旅雀儿 管弦乐琴乐谱：英雄未成
67,,解放决战多玛王城,,,迷你格林瓦特 九宫幻卡：格林瓦特 管弦乐琴乐谱：月亮门
69,√,巨炮要塞帝国白山堡,,,魔导复仇者追踪型 管弦乐琴乐谱：异形
60,√,圆桌骑士歼灭战,,10,
60,,尼德霍格征龙战,,10,九宫幻卡：尼德霍格
