等级,机制,副本名称,游戏图片,货币奖励,特殊物品
80,,无瑕灵君歼殛战,,15,无瑕玲龙魔笛 九宫幻卡：无瑕灵君 陈旧的乐谱：精神错乱 无瑕灵君的翼片
80,√,哈迪斯孤念歼灭战,,20,暗影玲龙魔笛 九宫幻卡：哈迪斯 陈旧的乐谱：不灭孤念 哈迪斯结晶片
80,,红宝石神兵狂想作战,,25,红宝石玲龙魔笛 九宫幻卡：红宝石神兵 陈旧的乐谱：究极神兵（蛮荒神影） 红宝石神兵装甲片
80,√,博兹雅堡垒追忆战,,20,九宫幻卡：瓦厉斯·耶·加尔乌斯
80,√,光之战士幻耀歼灭战,,25,光之玲龙魔笛 九宫幻卡：光之战士（暗影） 陈旧的乐谱：末路尽头 光之金属板
80,√,绿宝石神兵狂想作战,,25,绿宝石玲龙魔笛 九宫幻卡：绿宝石神兵 陈旧的乐谱：漆黑王狼重现世间 绿宝石神兵装甲片
80,√,钻石神兵狂想作战,,25,钻石玲龙魔笛 九宫幻卡：钻石神兵 陈旧的乐谱：孤儿们的战斗 钻石神兵装甲片
83,,佐迪亚克歼灭战,,,九宫幻卡：佐迪亚克
89,,海德林歼灭战,,,九宫幻卡：海德林
80,,复制工厂废墟,,100 100 12,辅助机054 辅助机316 九宫幻卡：9S 管弦乐琴乐谱：遗留之所／斜光 管弦乐琴乐谱：异物显现 管弦乐琴乐谱：远古之歌／赎罪 管弦乐琴乐谱：双极的噩梦 管弦乐琴乐谱：世界的重量／水晶序曲版 物资货箱：二号B型防具
80,,人偶军事基地,,100 100 12,自走人偶2B 自走人偶2P 九宫幻卡：2P 管弦乐琴乐谱：谎言之城 管弦乐琴乐谱：祖母／破坏 管弦乐琴乐谱：异形的末路 管弦乐琴乐谱：天降之力～破坏一切的黑色巨人／混合版
80,√,希望之炮台：“塔”,,100 120 15,自走人偶9S 机械生物 九宫幻卡：2B 管弦乐琴乐谱：终结之音 管弦乐琴乐谱：追悼 管弦乐琴乐谱：艾米尔／绝望 管弦乐琴乐谱：凯宁／最终幻想主题曲版 管弦乐琴乐谱：终结之音：丁 发型样式：2B 发型样式：9S 人造人玩偶
80,,伊甸希望乐园 觉醒之章1,,10,管弦乐琴乐谱：力战前行 ～暗影～
80,,伊甸希望乐园 觉醒之章2,,10,管弦乐琴乐谱：力战前行 ～暗影～
80,,伊甸希望乐园 觉醒之章3,,10,管弦乐琴乐谱：耀眼浪苍
80,,伊甸希望乐园 觉醒之章4,,10,迷你伊甸 管弦乐琴乐谱：地裂
80,,伊甸希望乐园 共鸣之章1,,10,管弦乐琴乐谱：雷轰电转
80,,伊甸希望乐园 共鸣之章2,,10,管弦乐琴乐谱：原始的堕天使
80,,伊甸希望乐园 共鸣之章3,,10,
80,√,伊甸希望乐园 共鸣之章4,,10,迷你琳 管弦乐琴乐谱：忘却的此岸
