等级,机制,副本名称,游戏图片,货币奖励,特殊物品
90,,最终幻想末世终迹,,20,游星鸟 管弦乐琴乐谱：先逝的群星
90,,乐园都市笑笑镇,,20,月面仙人刺王子 管弦乐琴乐谱：开开心心胡萝卜
90,,电脑梦境斯提格玛四,,20,集成奥密克戎
90,,近东秘宝阿尔扎达尔海底遗迹群,,30,门小奴 九宫幻卡：铁壁 管弦乐琴乐谱：打开的地图 阿尔扎达尔园艺灯
90,,异界孤城特罗亚宫廷,,40,斯卡米留尼之形 九宫幻卡：贝雅特丽齐 管弦乐琴乐谱：特罗亚国 ～晓月～ 管弦乐琴乐谱：战斗2（最终幻想IV） ～晓月～ 首席神官的椅子 土之大妖异的宝珠
90,√,雪山奥窟冥魂石洞,,50,凯纳槽之形 九宫幻卡：凯纳槽 管弦乐琴乐谱：洞中青辉 冥魂石洞标旗 水之大妖异的宝珠
90,√,间歇灵泉哈姆岛,,70,海鹦 九宫幻卡：八足巨妖 管弦乐琴乐谱：星球的叹息
90,√,异界深渊月面地下溪谷,,100,迷你高贝扎 九宫幻卡：杜兰特 管弦乐琴乐谱：巴隆王国 ～晓月～
91,√,丛林竞流生息河岸,,,小小海牛 九宫幻卡：瞌睡怪 管弦乐琴乐谱：海牛逆流而上 生息花丛
93,√,通天绝壁沃刻佐莫山,,,洛洛洛特雪精 九宫幻卡：辽刻特特雪精 管弦乐琴乐谱：高耸入云 佐莫石灯笼
95,√,神圣禁地深空天坑,,,说话的石头 九宫幻卡：锤颅巨兵 管弦乐琴乐谱：树海深处之梦 天坑室内灯
97,√,前哨基地先锋营,,,飞梭M9 管弦乐琴乐谱：火花与闪光 雷转质炮塔
99,√,魂魄工厂创生设施,,,验证体安布罗斯 九宫幻卡：安布罗斯 管弦乐琴乐谱：解剖生命 创生设施屏幕桌 创生设施办公椅
90,,终结之战,,10,九宫幻卡：梅蒂恩
90,√,巴尔巴莉希娅歼灭战,,12,九宫幻卡：巴尔巴莉希娅
90,√,卢比坎特歼灭战,,12,九宫幻卡：卢比坎特
90,√,高贝扎歼灭战,,12,九宫幻卡：高贝扎
90,√,泽罗姆斯歼灭战,,12,九宫幻卡：泽罗姆斯
90,√,阿修罗歼灭战,,10,九宫幻卡：阿修罗
