等级,机制,副本名称,游戏图片,货币奖励,特殊物品
50,√,神灵圣域放浪神古神殿,,20,一口小果冻 九宫幻卡：冬贝利 管弦乐琴乐谱：冬贝利之泪 尼姆光球
50,√,神兵要塞帝国南方堡,,100,九宫幻卡：莉维亚·萨斯·尤尼乌斯
50,,最终决战天幕魔导城,,150,九宫幻卡：盖乌斯·范·巴埃萨
50,√,邪教驻地无限城古堡,,20,恶魔砖块 九宫幻卡：恶魔墙 管弦乐琴乐谱：古城墙内 无限城石材
50,√,领航明灯天狼星灯塔,,30,九宫幻卡：塞壬 陈旧的乐谱：风暴中的灯火
50,√,骚乱坑道铜铃铜山,,30,粘液胶 陈旧的乐谱：黑暗的拥抱
50,√,恶灵府邸静语庄园,,30,九宫幻卡：梦魔 庄园清漆
50,√,腐坏遗迹无限城市街古迹,,40,陈旧的乐谱：魔大战的伤痕
50,√,剑斗领域日影地修炼所,,40,管弦乐琴乐谱：红莲战旗之下
50,√,纷争要地布雷福洛克斯野营地,,40,奥猴宝宝 管弦乐琴乐谱：愤怒
50,√,财宝传说破舰岛,,50,淘气南加 管弦乐琴乐谱：越过地平线 野香蕉的苗
50,√,惨剧灵殿塔姆·塔拉墓园,,50,陈旧的乐谱：漆黑的誓言
50,,激战城塞石卫塔,,50,九宫幻卡：蓝龙 对龙城塞的木材
50,,凛冽洞天披雪大冰壁,,70,九宫幻卡：芬里尔 管弦乐琴乐谱：密道
50,,逆转要害沙斯塔夏溶洞,,70,不说话的蜂鸟 九宫幻卡：克拉肯 陈旧的乐谱：激潮 破损的宝箱
50,,苏醒遗迹喀恩埋没圣堂,,70,小木乃伊 九宫幻卡：审理神代言者 管弦乐琴乐谱：落日遗迹
50,,幻龙残骸密约之塔,,100,管弦乐琴乐谱：银泪
50,,武装圣域放浪神古神殿,,100,九宫幻卡：冬贝利 九宫幻卡：光鳞兄弟莫拉加加 管弦乐琴乐谱：圣域陷阱
50,,邪念妖地无限城古堡,,100,九宫幻卡：恶魔墙 九宫幻卡：弗迪亚 管弦乐琴乐谱：战祸
51,,冰雪废堡暮卫塔,,,九宫幻卡：狮鹫 管弦乐琴乐谱：堕落
